number,title,tag1,tag2,tag3,tag4
PD0285/BD/26/01,General Arrangement,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/02,Setting Out,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/03,Piling Details & Reinforcement,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/04,Abutment Dimensions,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/05,Abutment Reinforcement Sheet 1,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/06,Abutment Reinforcement Sheet 2,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/07,Pier Dimensions,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/08,Pier Reinforcement,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/09,Deck Dimensions,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/10,Deck Reinforcement Sheet 1,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/11,Deck Reinforcement Sheet 2,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/12,Steelwork Sheet 1,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/13,Steelwork Sheet 2,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/14,Steelwork Sheet 3,STR,Drawing,Moor Lane Overbridge,
PD0285/BD/26/15,Bearing Schedule & Misc. Details,STR,Drawing,Moor Lane Overbridge,
